Outcome,Week End,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Hospitalizations,04/16/2022,0-4,1.8,,,,,,,,,,162642,,,3,,,0,4
Hospitalizations,04/23/2022,0-4,1.2,,,,,,,,,,162642,,,2,,,0,4
Hospitalizations,04/30/2022,0-4,1.8,,,,,,,,,,162642,,,3,,,0,4
Hospitalizations,05/07/2022,0-4,3.1,,,,,,,,,,162642,,,5,,,0,4
Hospitalizations,05/14/2022,0-4,3.1,,,,,,,,,,162642,,,5,,,0,4
Hospitalizations,05/21/2022,0-4,4.3,,,,,,,,,,162642,,,7,,,0,4
Hospitalizations,05/28/2022,0-4,3.1,,,,,,,,,,162642,,,5,,,0,4
Hospitalizations,06/11/2022,0-4,4.3,,,,,,,,,,162642,,,7,,,0,4
Hospitalizations,08/06/2022,80+,70.4,59.6,72.1,1.2,1.0,,,,,,25581,11753,47135,18,7,34,80,200
Cases,04/03/2021,12-17,137.6,,,,,,,,,,178757,,,246,,,12,17
Hospitalizations,03/19/2022,65-79,10.7,7.6,6.3,1.4,1.7,,,,,,46675,52638,159501,5,4,10,65,79
Deaths,08/14/2021,80+,6.4,0.0,,,,,,,,,31421,53356,,2,0,,80,200
Hospitalizations,05/08/2021,65-79,67.9,4.9,,13.9,,,,,,,82446,162110,,56,8,,65,79
Deaths,11/13/2021,30-49,0.5,0.2,0.0,2.5,,,,,,,190936,521079,47495,1,1,0,30,49
Hospitalizations,07/03/2021,80+,6.1,0.0,,,,,,,,,32751,51903,,2,0,,80,200
Hospitalizations,01/15/2022,All,86.8,39.0,25.2,2.2,3.4,123.0,46.7,15.8,2.6,7.8,734831,1028357,689816,638,401,174,999,999
Hospitalizations,01/29/2022,80+,127.0,161.3,46.9,0.8,2.7,,,,,,26772,16735,40498,34,27,19,80,200
Deaths,07/30/2022,5-11,0.0,0.0,0.0,,,,,,,,95392,88660,11104,0,0,0,5,11
Deaths,10/09/2021,30-49,1.4,0.0,,,,,,,,,209127,542294,,3,0,,30,49
Hospitalizations,08/14/2021,65-79,44.0,10.2,,4.3,,,,,,,65891,195217,,29,20,,65,79
Hospitalizations,05/14/2022,65-79,28.7,12.3,12.7,2.3,2.3,,,,,,45362,48847,165133,13,6,21,65,79
Deaths,12/11/2021,12-17,0.0,0.0,0.0,,,,,,,,55908,107404,459,0,0,0,12,17
Deaths,09/17/2022,12-17,0.0,0.0,0.0,,,,,,,,33449,86488,45081,0,0,0,12,17
Deaths,09/10/2022,5-11,0.0,0.0,0.0,,,,,,,,92985,83665,18157,0,0,0,5,11
Deaths,10/22/2022,5-11,0.0,0.0,0.0,,,,,,,,91725,82122,21185,0,0,0,5,11
Hospitalizations,01/29/2022,65-79,104.1,70.1,23.1,1.5,4.5,,,,,,48040,62745,147291,50,44,34,65,79
Cases,04/10/2021,65-79,128.9,11.9,,10.8,,,,,,,97753,108802,,126,13,,65,79
Cases,12/18/2021,5-11,727.6,187.1,,3.9,,,,,,,145818,24587,,1061,46,,5,11
Cases,04/10/2021,30-49,342.0,27.8,,12.3,,,,,,,450935,125857,,1542,35,,30,49
Hospitalizations,10/30/2021,65-79,28.0,8.8,3.0,3.2,9.3,,,,,,57175,169564,33345,16,15,1,65,79
Deaths,06/25/2022,5-11,0.0,0.0,0.0,,,,,,,,97293,93000,5364,0,0,0,5,11
Cases,10/29/2022,50-64,406.1,104.1,135.3,3.9,3.0,,,,,,33487,123004,252762,136,128,342,50,64
Deaths,04/09/2022,50-64,0.0,0.7,0.4,0.0,0.0,,,,,,41632,138452,230434,0,1,1,50,64
Hospitalizations,09/11/2021,All,16.7,3.9,,4.3,,23.7,3.0,,7.8,,1038786,1483217,,173,58,,999,999
Cases,08/20/2022,5-11,78.9,76.5,90.5,1.0,0.9,,,,,,93797,86291,14367,74,66,13,5,11
Deaths,09/10/2022,All,0.8,0.4,0.2,2.0,4.0,0.7,0.7,0.1,1.0,5.7,590467,845672,1038721,5,3,2,999,999
Hospitalizations,04/23/2022,All,4.8,3.4,3.8,1.4,1.3,6.4,4.3,2.6,1.5,2.4,640930,898581,952467,31,31,36,999,999
Hospitalizations,10/08/2022,12-17,6.0,0.0,0.0,,,,,,,,33110,85837,45997,2,0,0,12,17
Deaths,05/14/2022,All,0.2,0.3,0.3,0.7,0.7,0.1,0.5,0.2,0.2,0.6,635855,891122,965612,1,3,3,999,999
Cases,08/14/2021,All,189.3,91.4,,2.1,,212.3,75.5,,2.8,,1102452,1432243,,2087,1309,,999,999
Deaths,05/22/2021,30-49,1.3,0.0,,,,,,,,,319176,371716,,4,0,,30,49
Deaths,01/01/2022,5-11,0.0,0.0,,,,,,,,,136959,44506,,0,0,,5,11
Cases,07/24/2021,18-29,115.1,41.1,,2.8,,,,,,,218866,272335,,252,112,,18,29
Hospitalizations,09/03/2022,50-64,54.2,9.5,8.1,5.7,6.7,,,,,,36907,126175,247915,20,12,20,50,64
Hospitalizations,04/30/2022,50-64,19.6,7.4,4.7,2.6,4.2,,,,,,40776,135788,234246,8,10,11,50,64
Hospitalizations,09/18/2021,80+,36.1,13.1,,2.8,,,,,,,30477,53499,,11,7,,80,200
Deaths,04/16/2022,80+,3.8,0.0,0.0,,,,,,,,26240,13626,44277,1,0,0,80,200
Hospitalizations,01/08/2022,12-17,12.1,10.1,0.0,1.2,,,,,,,49482,108810,3528,6,11,0,12,17
Cases,04/10/2021,50-64,263.5,24.4,,10.8,,,,,,,204926,81843,,540,20,,50,64
Cases,09/10/2022,65-79,138.5,112.4,123.8,1.2,1.1,,,,,,43307,43593,172850,60,49,214,65,79
Deaths,11/27/2021,30-49,2.2,0.4,0.0,5.5,,,,,,,184213,491151,83845,4,2,0,30,49
Deaths,08/13/2022,5-11,0.0,0.0,0.0,,,,,,,,94395,87081,13241,0,0,0,5,11
Hospitalizations,10/01/2022,65-79,28.5,18.6,15.5,1.5,1.8,,,,,,42151,43050,173839,12,8,27,65,79
Cases,11/20/2021,50-64,393.6,101.0,19.9,3.9,19.8,,,,,,64535,299155,50348,254,302,10,50,64
Cases,10/02/2021,30-49,206.3,67.8,,3.0,,,,,,,213291,538234,,440,365,,30,49
Cases,04/16/2022,65-79,39.1,59.2,98.1,0.7,0.4,,,,,,46005,50710,162079,18,30,159,65,79
Hospitalizations,04/09/2022,80+,7.6,29.0,13.6,0.3,0.6,,,,,,26288,13774,44066,2,4,6,80,200
Deaths,05/07/2022,All,0.2,0.1,0.3,2.0,0.7,0.2,0.2,0.2,1.1,1.0,637647,893624,961290,1,1,3,999,999
Hospitalizations,09/25/2021,18-29,11.5,0.3,,38.3,,,,,,,182655,300849,,21,1,,18,29
Deaths,04/17/2021,65-79,7.5,0.0,,,,,,,,,92767,126147,,7,0,,65,79
Deaths,09/25/2021,12-17,0.0,0.0,,,,,,,,,68472,91521,,0,0,,12,17
Hospitalizations,07/03/2021,All,2.9,0.2,,14.5,,4.1,0.2,,23.8,,1199005,1331487,,35,3,,999,999
Deaths,09/18/2021,80+,26.2,1.9,,13.8,,,,,,,30477,53499,,8,1,,80,200
Hospitalizations,11/19/2022,18-29,6.9,3.3,2.5,2.1,2.8,,,,,,86334,211053,162514,6,7,4,18,29
Hospitalizations,05/21/2022,80+,61.6,69.7,77.0,0.9,0.8,,,,,,25977,12905,45432,16,9,35,80,200
Cases,01/29/2022,80+,257.7,274.9,133.3,0.9,1.9,,,,,,26772,16735,40498,69,46,54,80,200
Hospitalizations,05/22/2021,50-64,57.7,0.4,,144.2,,,,,,,128339,240209,,74,1,,50,64
Cases,04/03/2021,30-49,247.1,28.8,,8.6,,,,,,,502586,107769,,1242,31,,30,49
Deaths,05/07/2022,12-17,0.0,0.0,0.0,,,,,,,,35810,95149,34308,0,0,0,12,17
Hospitalizations,08/13/2022,0-4,7.4,0.0,,,,,,,,,162642,,,12,0,,0,4
Deaths,07/31/2021,80+,3.1,1.9,,1.6,,,,,,,31931,52939,,1,1,,80,200
Hospitalizations,06/11/2022,5-11,0.0,0.0,0.0,,,,,,,,97869,95056,2718,0,0,0,5,11
Cases,04/24/2021,12-17,155.2,,,,,,,,,,170801,,,265,,,12,17
Cases,02/05/2022,0-4,177.7,,,,,,,,,,162642,,,289,,,0,4
Deaths,11/06/2021,65-79,7.1,1.2,0.0,5.9,,,,,,,56245,161156,42324,4,2,0,65,79
Hospitalizations,11/13/2021,All,13.7,4.5,1.8,3.0,7.6,20.5,4.2,0.6,4.9,33.2,909406,1432006,171110,125,65,3,999,999
Hospitalizations,11/27/2021,80+,63.8,50.6,0.0,1.3,,,,,,,28192,33630,22464,18,17,0,80,200
Hospitalizations,07/23/2022,65-79,52.3,44.1,18.2,1.2,2.9,,,,,,43957,45371,170344,23,20,31,65,79
Deaths,11/20/2021,50-64,10.8,0.7,0.0,15.4,,,,,,,64535,299155,50348,7,2,0,50,64
Cases,05/21/2022,50-64,475.6,182.5,278.6,2.6,1.7,,,,,,39949,133698,237278,190,244,661,50,64
Cases,09/18/2021,All,190.6,62.9,,3.0,,214.7,51.8,,4.1,,1025055,1494650,,1954,940,,999,999
Deaths,08/20/2022,65-79,4.6,0.0,0.6,,7.7,,,,,,43574,44192,172055,2,0,1,65,79
Hospitalizations,09/04/2021,12-17,0.0,0.0,,,,,,,,,74020,80987,,0,0,,12,17
Hospitalizations,07/02/2022,18-29,5.1,4.7,1.3,1.1,3.9,,,,,,98614,214147,151966,5,10,2,18,29
Deaths,09/04/2021,80+,32.5,3.7,,8.8,,,,,,,30763,53643,,10,2,,80,200
Cases,10/08/2022,50-64,250.0,58.6,109.1,4.3,2.3,,,,,,35196,124617,250331,88,73,273,50,64
Cases,07/09/2022,65-79,225.9,163.5,208.1,1.4,1.1,,,,,,44277,45866,169645,100,75,353,65,79
Cases,04/02/2022,5-11,63.2,129.2,,0.5,,,,,,,101187,92910,,64,120,,5,11
Cases,07/03/2021,65-79,21.2,5.3,,4.0,,,,,,,70776,189435,,15,10,,65,79
Hospitalizations,12/11/2021,80+,97.3,89.1,21.1,1.1,4.6,,,,,,27763,28055,28382,27,25,6,80,200
Hospitalizations,03/26/2022,80+,3.8,14.2,6.9,0.3,0.6,,,,,,26376,14072,43712,1,2,3,80,200
Hospitalizations,07/30/2022,50-64,42.4,8.6,8.2,4.9,5.2,,,,,,37761,128351,244963,16,11,20,50,64
Cases,08/14/2021,18-29,275.7,129.8,,2.1,,,,,,,205635,281969,,567,366,,18,29
Cases,11/13/2021,5-11,230.9,,,,,,,,,,179754,,,415,,,5,11
Deaths,07/16/2022,30-49,0.0,0.0,0.0,,,,,,,,121296,281647,344272,0,0,0,30,49
Hospitalizations,08/07/2021,50-64,35.1,2.2,,16.0,,,,,,,93989,318670,,33,7,,50,64
Hospitalizations,01/08/2022,50-64,385.2,76.3,31.4,5.0,12.3,,,,,,51655,195250,162528,199,149,51,50,64
Cases,09/10/2022,18-29,175.1,65.9,111.3,2.7,1.6,,,,,,95383,211085,157211,167,139,175,18,29
Cases,12/11/2021,All,511.3,210.6,58.8,2.4,8.7,590.3,172.4,54.3,3.4,10.9,837312,1251596,384403,4281,2636,226,999,999
Deaths,02/12/2022,30-49,3.0,0.7,0.3,4.3,10.0,,,,,,133695,304015,299754,4,2,1,30,49
Cases,10/30/2021,18-29,152.3,56.8,25.6,2.7,5.9,,,,,,169455,309697,7815,258,176,2,18,29
Deaths,06/12/2021,30-49,1.0,0.0,,,,,,,,,294861,443989,,3,0,,30,49
Deaths,10/02/2021,50-64,5.2,0.3,,17.3,,,,,,,76230,332579,,4,1,,50,64
Cases,08/21/2021,12-17,185.5,21.7,,8.5,,,,,,,80343,73849,,149,16,,12,17
Cases,06/11/2022,50-64,456.7,156.5,238.1,2.9,1.9,,,,,,39197,131638,240262,179,206,572,50,64
Deaths,06/18/2022,All,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.1,0.0,0.0,627751,875872,988799,0,2,2,999,999
Deaths,07/23/2022,30-49,0.0,0.0,0.0,,,,,,,,120985,281183,344944,0,0,0,30,49
Cases,08/14/2021,50-64,241.7,53.9,,4.5,,,,,,,91439,320693,,221,173,,50,64
Hospitalizations,09/24/2022,18-29,7.4,3.3,1.3,2.2,5.7,,,,,,93970,211138,157721,7,7,2,18,29
Cases,05/15/2021,65-79,122.3,14.3,,8.6,,,,,,,80159,167898,,98,24,,65,79
Deaths,04/24/2021,18-29,0.3,0.0,,,,,,,,,304389,84616,,1,0,,18,29
Deaths,04/09/2022,65-79,2.2,0.0,0.6,,3.7,,,,,,46206,51182,161335,1,0,1,65,79
Deaths,04/17/2021,50-64,7.6,0.0,,,,,,,,,183798,103238,,14,0,,50,64
Cases,07/17/2021,30-49,70.7,22.1,,3.2,,,,,,,271581,492444,,192,109,,30,49
Deaths,06/12/2021,50-64,10.4,0.0,,,,,,,,,114988,282884,,12,0,,50,64
Cases,10/08/2022,5-11,99.8,70.2,123.0,1.4,0.8,,,,,,92140,82597,20327,92,58,25,5,11
Cases,05/29/2021,12-17,43.2,11.1,,3.9,,,,,,,127380,9030,,55,1,,12,17
Cases,11/26/2022,0-4,70.7,3.1,,22.8,,,,,,,162642,,,115,5,,0,4
Hospitalizations,04/03/2021,80+,38.5,3.7,,10.4,,,,,,,41587,26704,,16,1,,80,200
Cases,10/16/2021,80+,33.7,39.6,,0.9,,,,,,,29683,50557,,10,20,,80,200
Deaths,06/11/2022,30-49,0.0,0.0,0.0,,,,,,,,122799,284167,340517,0,0,0,30,49
Deaths,12/18/2021,65-79,36.9,7.3,0.0,5.1,,,,,,,51508,95307,112129,19,7,0,65,79
Hospitalizations,12/04/2021,80+,143.1,66.6,15.2,2.1,9.4,,,,,,27948,30020,26320,40,20,4,80,200
Deaths,01/22/2022,50-64,54.3,6.9,0.0,7.9,,,,,,,47867,175174,184631,26,12,0,50,64
Cases,08/13/2022,12-17,120.6,68.3,112.6,1.8,1.1,,,,,,33991,89334,41732,41,61,47,12,17
Cases,07/30/2022,30-49,389.4,175.7,244.3,2.2,1.6,,,,,,120707,280522,345860,470,493,845,30,49
Cases,03/05/2022,5-11,61.0,70.3,,0.9,,,,,,,103363,85398,,63,60,,5,11
Deaths,10/16/2021,50-64,2.7,0.6,,4.5,,,,,,,72822,331903,,2,2,,50,64
Deaths,10/15/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,08/13/2022,30-49,14.2,6.4,4.6,2.2,3.1,,,,,,120110,279431,347394,17,18,16,30,49
Cases,07/03/2021,80+,3.1,0.0,,,,,,,,,32751,51903,,1,0,,80,200
Cases,12/03/2022,50-64,500.5,147.3,176.0,3.4,2.8,,,,,,31366,120165,256774,157,177,452,50,64
Hospitalizations,02/12/2022,50-64,44.8,5.9,3.8,7.6,11.8,,,,,,44609,153166,210093,20,9,8,50,64
Deaths,01/22/2022,All,16.7,5.5,1.2,3.0,13.9,22.4,8.1,0.7,2.8,31.9,713904,993614,737411,119,55,9,999,999
Deaths,08/14/2021,12-17,0.0,0.0,,,,,,,,,84445,70986,,0,0,,12,17
Hospitalizations,12/25/2021,18-29,63.1,9.8,3.5,6.4,18.0,,,,,,144143,275364,57245,91,27,2,18,29
Cases,04/23/2022,30-49,166.6,106.7,294.2,1.6,0.6,,,,,,125459,289613,332718,209,309,979,30,49
Hospitalizations,07/10/2021,30-49,4.4,0.4,,11.0,,,,,,,275525,486506,,12,2,,30,49
Deaths,11/19/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,08/28/2021,50-64,279.9,65.6,,4.3,,,,,,,86467,324811,,242,213,,50,64
Deaths,09/24/2022,12-17,0.0,0.0,0.0,,,,,,,,33329,86395,45248,0,0,0,12,17
Cases,07/02/2022,5-11,71.1,82.7,147.7,0.9,0.5,,,,,,96984,91893,6771,69,76,10,5,11
Deaths,07/03/2021,50-64,1.9,0.0,,,,,,,,,106367,303161,,2,0,,50,64
Cases,04/24/2021,30-49,289.1,32.6,,8.9,,,,,,,381558,196215,,1103,64,,30,49
Cases,05/14/2022,30-49,407.1,219.7,521.5,1.9,0.8,,,,,,124280,287263,336150,506,631,1753,30,49
Deaths,09/18/2021,12-17,0.0,0.0,,,,,,,,,70184,88270,,0,0,,12,17
Hospitalizations,07/23/2022,5-11,0.0,2.2,0.0,0.0,,,,,,,95851,89490,10004,0,2,0,5,11
Cases,07/16/2022,65-79,240.3,190.8,234.1,1.3,1.0,,,,,,44113,45597,170033,106,87,398,65,79
Deaths,08/13/2022,All,0.5,0.5,0.1,1.0,5.0,0.7,0.8,0.1,0.8,9.5,599768,853180,1023162,3,4,1,999,999
Hospitalizations,08/27/2022,65-79,46.0,34.1,22.1,1.3,2.1,,,,,,43493,44001,172314,20,15,38,65,79
Deaths,02/19/2022,50-64,0.0,0.7,0.0,0.0,,,,,,,43974,149587,214789,0,1,0,50,64
Deaths,08/06/2022,80+,7.8,8.5,2.1,0.9,3.7,,,,,,25581,11753,47135,2,1,1,80,200
Cases,07/16/2022,5-11,107.0,121.0,230.4,0.9,0.5,,,,,,96271,90096,9113,103,109,21,5,11
Deaths,12/11/2021,30-49,6.8,0.4,0.0,17.0,,,,,,,175475,456326,123445,12,2,0,30,49
Hospitalizations,11/26/2022,80+,70.5,103.8,57.0,0.7,1.2,,,,,,24110,10598,49131,17,11,28,80,200
Hospitalizations,09/03/2022,0-4,4.9,0.6,,8.2,,,,,,,162642,,,8,1,,0,4
Hospitalizations,01/22/2022,65-79,185.7,125.4,27.9,1.5,6.7,,,,,,48469,66191,143459,90,83,40,65,79
Hospitalizations,10/22/2022,12-17,0.0,1.2,2.1,0.0,0.0,,,,,,32844,85217,46799,0,1,1,12,17
Deaths,11/13/2021,50-64,9.0,0.6,0.0,15.0,,,,,,,66350,310578,37372,6,2,0,50,64
Deaths,04/30/2022,30-49,0.0,0.0,0.0,,,,,,,,125080,288795,333918,0,0,0,30,49
Cases,06/11/2022,12-17,335.5,166.7,219.1,2.0,1.5,,,,,,35175,93596,36516,118,156,80,12,17
Hospitalizations,07/31/2021,18-29,8.9,0.7,,12.7,,,,,,,214652,275882,,19,2,,18,29
Cases,08/06/2022,0-4,185.1,1.2,,154.2,,,,,,,162642,,,301,2,,0,4
Hospitalizations,09/11/2021,80+,68.6,22.4,,3.1,,,,,,,30633,53616,,21,12,,80,200
Deaths,12/11/2021,5-11,0.0,0.0,,,,,,,,,150371,2888,,0,0,,5,11
Cases,06/11/2022,0-4,174.0,,,,,,,,,,162642,,,283,,,0,4
Deaths,10/08/2022,12-17,0.0,0.0,0.0,,,,,,,,33110,85837,45997,0,0,0,12,17
Cases,09/04/2021,All,198.5,75.2,,2.6,,219.3,61.3,,3.6,,1051674,1469546,,2088,1105,,999,999
Hospitalizations,05/28/2022,80+,50.2,78.2,50.4,0.6,1.0,,,,,,25910,12782,45635,13,10,23,80,200
Cases,03/26/2022,30-49,81.7,41.9,112.2,1.9,0.7,,,,,,127335,293696,326133,104,123,366,30,49
Hospitalizations,02/26/2022,All,6.2,3.4,3.9,1.8,1.6,8.1,4.3,2.5,1.9,3.2,660880,912736,892458,41,31,35,999,999
Hospitalizations,10/02/2021,80+,40.0,13.1,,3.1,,,,,,,30037,53338,,12,7,,80,200
Deaths,12/18/2021,5-11,0.0,0.0,,,,,,,,,145818,24587,,0,0,,5,11
Deaths,05/01/2021,18-29,0.0,0.0,,,,,,,,,288177,106599,,0,0,,18,29
Hospitalizations,04/30/2022,12-17,0.0,1.0,2.9,0.0,0.0,,,,,,35947,95359,33962,0,1,1,12,17
Deaths,04/16/2022,18-29,0.0,0.0,0.0,,,,,,,,102566,218321,144678,0,0,0,18,29
Deaths,08/21/2021,18-29,0.5,0.0,,,,,,,,,201587,284925,,1,0,,18,29
Deaths,07/03/2021,12-17,0.0,0.0,,,,,,,,,106816,49023,,0,0,,12,17
Hospitalizations,09/10/2022,18-29,11.5,2.8,1.3,4.1,8.8,,,,,,95383,211085,157211,11,6,2,18,29
Deaths,09/25/2021,65-79,8.1,1.0,,8.1,,,,,,,61465,195187,,5,2,,65,79
Hospitalizations,09/10/2022,0-4,3.7,0.0,,,,,,,,,162642,,,6,0,,0,4
Deaths,07/30/2022,All,0.8,0.1,0.6,8.0,1.3,1.4,0.3,0.4,5.2,3.8,605531,857726,1014347,5,1,6,999,999
Deaths,12/25/2021,All,7.6,2.7,1.0,2.8,7.6,11.2,3.2,0.4,3.5,27.6,804573,1165628,521475,61,32,5,999,999
Cases,03/19/2022,12-17,70.4,24.7,33.2,2.9,2.1,,,,,,36954,96984,30163,26,24,10,12,17
Cases,11/12/2022,18-29,191.5,69.2,79.0,2.8,2.4,,,,,,87226,211073,161969,167,146,128,18,29
Hospitalizations,05/15/2021,All,17.0,1.9,,8.9,,22.8,1.3,,18.2,,1380579,932088,,235,18,,999,999
Deaths,05/28/2022,50-64,0.0,1.5,0.0,0.0,,,,,,,39680,133014,238269,0,2,0,50,64
Hospitalizations,09/25/2021,30-49,21.6,1.3,,16.6,,,,,,,217740,533823,,47,7,,30,49
Cases,07/23/2022,18-29,361.7,137.4,249.4,2.6,1.5,,,,,,97591,213181,153565,353,293,383,18,29
Hospitalizations,04/17/2021,All,19.8,4.4,,4.5,,25.1,2.3,,10.7,,1609590,480702,,318,21,,999,999
Hospitalizations,12/18/2021,65-79,188.3,56.7,13.4,3.3,14.1,,,,,,51508,95307,112129,97,54,15,65,79
Cases,12/04/2021,5-11,394.5,0.0,,,,,,,,,155369,13,,613,0,,5,11
Cases,05/01/2021,18-29,237.4,22.5,,10.6,,,,,,,288177,106599,,684,24,,18,29
Hospitalizations,12/11/2021,5-11,2.0,0.0,,,,,,,,,150371,2888,,3,0,,5,11
Cases,06/25/2022,All,236.5,136.3,249.0,1.7,0.9,285.8,128.9,214.4,2.2,1.3,624513,872957,993140,1477,1190,2473,999,999
Cases,12/25/2021,50-64,2306.6,1041.1,633.7,2.2,3.6,,,,,,55666,224853,130811,1284,2341,829,50,64
Deaths,08/27/2022,All,1.0,0.5,0.1,2.0,10.0,1.0,0.8,0.1,1.3,18.6,594487,849142,1031454,6,4,1,999,999
Cases,10/29/2022,80+,122.4,182.1,164.9,0.7,0.7,,,,,,24508,10983,48525,30,20,80,80,200
Deaths,09/24/2022,30-49,0.0,0.0,0.0,,,,,,,,117084,277464,350827,0,0,0,30,49
Cases,08/27/2022,18-29,248.9,97.4,153.4,2.6,1.6,,,,,,96016,211497,156409,239,206,240,18,29
Hospitalizations,07/30/2022,All,14.7,7.5,10.9,2.0,1.3,19.2,9.9,7.6,1.9,2.5,605531,857726,1014347,89,64,111,999,999
Cases,05/14/2022,18-29,370.3,195.7,442.8,1.9,0.8,,,,,,100992,216649,147691,374,424,654,18,29
Cases,01/08/2022,All,2225.7,1611.4,1141.2,1.4,2.0,2532.2,1509.1,1011.7,1.7,2.5,761521,1062814,646101,16949,17126,7373,999,999
Hospitalizations,12/18/2021,12-17,20.1,1.8,0.0,11.2,,,,,,,54687,108940,537,11,2,0,12,17
Hospitalizations,06/12/2021,18-29,2.5,0.0,,,,,,,,,240139,233222,,6,0,,18,29
Cases,07/23/2022,All,296.7,163.6,258.4,1.8,1.1,353.6,161.7,229.3,2.2,1.5,608643,861261,1009494,1806,1409,2609,999,999
Cases,11/26/2022,65-79,257.9,149.2,158.6,1.7,1.6,,,,,,38782,40220,178387,100,60,283,65,79
Deaths,07/10/2021,50-64,1.9,0.0,,,,,,,,,104288,307467,,2,0,,50,64
Deaths,02/12/2022,50-64,6.7,3.9,1.0,1.7,6.7,,,,,,44609,153166,210093,3,6,2,50,64
Hospitalizations,10/15/2022,12-17,6.1,0.0,0.0,,,,,,,,32995,85520,46389,2,0,0,12,17
Cases,05/07/2022,65-79,195.5,101.4,183.7,1.9,1.1,,,,,,45535,49304,164423,89,50,302,65,79
Cases,07/31/2021,30-49,169.2,62.9,,2.7,,,,,,,261164,502200,,442,316,,30,49
Deaths,04/09/2022,5-11,0.0,0.0,,,,,,,,,100799,93761,,0,0,,5,11
Cases,06/05/2021,12-17,23.8,0.0,,,,,,,,,122067,12111,,29,0,,12,17
Hospitalizations,11/05/2022,5-11,1.1,1.2,0.0,0.9,,,,,,,91269,81371,22341,1,1,0,5,11
Deaths,09/11/2021,12-17,0.0,0.0,,,,,,,,,72214,85028,,0,0,,12,17
Hospitalizations,01/01/2022,65-79,371.9,203.0,30.2,1.8,12.3,,,,,,50276,79329,129201,187,161,39,65,79
Cases,09/11/2021,80+,88.1,54.1,,1.6,,,,,,,30633,53616,,27,29,,80,200
Deaths,01/01/2022,80+,66.1,43.2,11.1,1.5,6.0,,,,,,27248,20828,36043,18,9,4,80,200
Hospitalizations,07/17/2021,18-29,2.2,0.4,,5.5,,,,,,,222398,268571,,5,1,,18,29
Hospitalizations,03/26/2022,30-49,4.7,1.0,0.6,4.7,7.8,,,,,,127335,293696,326133,6,3,2,30,49
Hospitalizations,06/04/2022,12-17,5.7,1.1,2.8,5.2,2.0,,,,,,35284,94008,35978,2,1,1,12,17
Cases,03/26/2022,18-29,90.4,32.8,117.4,2.8,0.8,,,,,,103982,219829,141353,94,72,166,18,29
Cases,10/23/2021,30-49,159.2,62.7,17.1,2.5,9.3,,,,,,201606,539175,17534,321,338,3,30,49
Cases,10/01/2022,5-11,73.6,77.2,146.8,1.0,0.5,,,,,,92337,82952,19750,68,64,29,5,11
Deaths,04/23/2022,65-79,0.0,2.0,0.6,0.0,0.0,,,,,,45824,50175,162945,0,1,1,65,79
Deaths,08/14/2021,30-49,1.2,0.0,,,,,,,,,249090,510012,,3,0,,30,49
Deaths,09/24/2022,5-11,0.0,0.0,0.0,,,,,,,,92551,83199,19196,0,0,0,5,11
Cases,07/24/2021,50-64,98.4,22.3,,4.4,,,,,,,99642,313727,,98,70,,50,64
Deaths,07/09/2022,All,0.5,0.1,0.6,5.0,0.8,0.5,0.3,0.4,1.8,1.4,616376,866687,1001800,3,1,6,999,999
Deaths,04/30/2022,80+,3.8,7.5,0.0,0.5,,,,,,,26157,13339,44767,1,1,0,80,200
Cases,08/20/2022,50-64,478.6,146.6,179.7,3.3,2.7,,,,,,37192,126834,247033,178,186,444,50,64
Cases,01/08/2022,5-11,2097.7,1815.4,,1.2,,,,,,,130383,47648,,2735,865,,5,11
Hospitalizations,02/26/2022,5-11,1.0,0.0,,,,,,,,,104337,81396,,1,0,,5,11
Deaths,02/12/2022,80+,45.1,25.7,9.5,1.8,4.7,,,,,,26614,15536,41889,12,4,4,80,200
Hospitalizations,11/20/2021,All,21.3,5.2,2.7,4.1,7.9,32.3,5.1,1.3,6.4,25.7,884402,1388475,223666,188,72,6,999,999
Hospitalizations,03/12/2022,18-29,1.0,0.9,0.7,1.1,1.4,,,,,,105248,220357,138440,1,2,1,18,29
Cases,07/31/2021,12-17,117.4,12.2,,9.6,,,,,,,92860,65439,,109,8,,12,17
Cases,04/10/2021,All,252.9,24.9,,10.2,,253.8,21.1,,12.1,,1701205,401555,,4302,100,,999,999
Hospitalizations,06/05/2021,12-17,0.8,0.0,,,,,,,,,122067,12111,,1,0,,12,17
Cases,07/17/2021,18-29,63.8,33.1,,1.9,,,,,,,222398,268571,,142,89,,18,29
Deaths,04/16/2022,12-17,0.0,0.0,0.0,,,,,,,,36206,96102,32852,0,0,0,12,17
Cases,04/24/2021,50-64,241.8,22.0,,11.0,,,,,,,165830,136225,,401,30,,50,64
